market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ANKR,2023-10-09T00:00:00,2023-10-09T09:00:00,27.6,27.7,25.1,25.2,1697077005050,9849853063.888432,377013645.54164475,2023-10-09
KRW-ANKR,2023-10-02T00:00:00,2023-10-02T09:00:00,27.9,28.4,25.4,27.6,1696809589433,37379483836.2011,1381990291.40155,2023-10-02
KRW-ANKR,2023-09-25T00:00:00,2023-09-25T09:00:00,26.3,28.0,25.6,27.9,1696204756941,20272113062.826035,763517544.2123668,2023-09-25
KRW-ANKR,2023-09-18T00:00:00,2023-09-18T09:00:00,24.9,27.7,24.5,26.3,1695599969666,20141667303.03318,769174769.8503995,2023-09-18
KRW-ANKR,2023-09-11T00:00:00,2023-09-11T09:00:00,24.9,26.5,23.2,24.8,1694995177330,19311291263.911064,776739397.4641958,2023-09-11
KRW-ANKR,2023-09-04T00:00:00,2023-09-04T09:00:00,24.8,26.0,24.4,24.8,1694390378399,6777003235.499,269136403.97150564,2023-09-04
KRW-ANKR,2023-08-28T00:00:00,2023-08-28T09:00:00,26.9,27.6,24.4,24.8,1693785419483,12869048146.589584,498704615.73472774,2023-08-28
KRW-ANKR,2023-08-21T00:00:00,2023-08-21T09:00:00,28.0,28.0,26.1,26.8,1693180763254,8813788127.168499,324943547.1755121,2023-08-21
KRW-ANKR,2023-08-14T00:00:00,2023-08-14T09:00:00,32.2,32.4,25.2,28.0,1692575988568,21321247415.311966,741720544.7857349,2023-08-14
KRW-ANKR,2023-08-07T00:00:00,2023-08-07T09:00:00,32.2,32.6,31.3,32.1,1691971178279,14586607480.186335,453264851.7049726,2023-08-07
KRW-ANKR,2023-07-31T00:00:00,2023-07-31T09:00:00,33.1,33.5,31.6,32.2,1691366397636,27106173529.08131,834861654.5879844,2023-07-31
KRW-ANKR,2023-07-24T00:00:00,2023-07-24T09:00:00,33.6,36.1,31.4,33.1,1690761597696,112973524905.81615,3393623340.3041778,2023-07-24
KRW-ANKR,2023-07-17T00:00:00,2023-07-17T09:00:00,32.6,35.9,31.3,33.6,1690156799302,68814641665.91954,2044606532.7917306,2023-07-17
KRW-ANKR,2023-07-10T00:00:00,2023-07-10T09:00:00,30.4,34.5,29.5,32.7,1689551999426,65705498625.410484,2019069748.0282679,2023-07-10
KRW-ANKR,2023-07-03T00:00:00,2023-07-03T09:00:00,31.0,36.1,30.2,30.4,1688947177130,77407978335.70654,2363955209.436961,2023-07-03
KRW-ANKR,2023-06-26T00:00:00,2023-06-26T09:00:00,33.4,35.1,27.9,30.8,1688342383202,61809413160.06218,1945171276.980561,2023-06-26
KRW-ANKR,2023-06-19T00:00:00,2023-06-19T09:00:00,26.0,39.4,26.0,33.4,1687737596017,144991928975.06772,4342592993.186781,2023-06-19
KRW-ANKR,2023-06-12T00:00:00,2023-06-12T09:00:00,26.8,27.2,24.6,26.2,1687132783589,12625344179.715649,485490278.27578545,2023-06-12
KRW-ANKR,2023-06-05T00:00:00,2023-06-05T09:00:00,34.5,34.7,25.1,26.7,1686527988148,39456023621.21528,1306402255.14023,2023-06-05
KRW-ANKR,2023-05-29T00:00:00,2023-05-29T09:00:00,35.0,36.9,33.0,34.6,1685923143378,24205625165.506195,691349923.8515576,2023-05-29
KRW-ANKR,2023-05-22T00:00:00,2023-05-22T09:00:00,34.2,35.5,32.3,35.0,1685318343299,12922127528.191988,379518426.04790014,2023-05-22
KRW-ANKR,2023-05-15T00:00:00,2023-05-15T09:00:00,34.6,39.1,33.9,34.1,1684713590338,64792312310.745995,1764704262.8611732,2023-05-15
KRW-ANKR,2023-05-08T00:00:00,2023-05-08T09:00:00,38.4,38.7,32.2,34.6,1684108750017,23986449688.94543,682817937.6991948,2023-05-08
KRW-ANKR,2023-05-01T00:00:00,2023-05-01T09:00:00,41.4,41.6,38.1,38.4,1683503852461,19245156850.246155,486271966.47052604,2023-05-01
KRW-ANKR,2023-04-24T00:00:00,2023-04-24T09:00:00,42.4,44.0,39.9,41.3,1682899188012,25922101127.465275,619015244.8623198,2023-04-24
KRW-ANKR,2023-04-17T00:00:00,2023-04-17T09:00:00,48.3,50.0,41.2,42.3,1682294392463,78654493764.46884,1713512095.1871266,2023-04-17
KRW-ANKR,2023-04-10T00:00:00,2023-04-10T09:00:00,46.0,49.9,45.3,48.2,1681689598626,106494798829.58742,2253079982.4844747,2023-04-10
KRW-ANKR,2023-04-03T00:00:00,2023-04-03T09:00:00,46.3,49.3,43.3,45.9,1681084798947,118359932893.42113,2553485301.3094645,2023-04-03
KRW-ANKR,2023-03-27T00:00:00,2023-03-27T09:00:00,43.4,55.7,39.7,46.3,1680479995252,412652196602.4888,8427258052.120246,2023-03-27
KRW-ANKR,2023-03-20T00:00:00,2023-03-20T09:00:00,48.1,48.5,42.4,43.3,1679875196919,67107377155.67716,1482458760.2316363,2023-03-20
KRW-ANKR,2023-03-13T00:00:00,2023-03-13T09:00:00,40.2,51.4,39.5,48.1,1679270398431,224824284175.08987,4864977452.524533,2023-03-13
KRW-ANKR,2023-03-06T00:00:00,2023-03-06T09:00:00,46.5,46.7,34.8,40.1,1678665594089,59848502799.93616,1501112667.6163843,2023-03-06
KRW-ANKR,2023-02-27T00:00:00,2023-02-27T09:00:00,57.1,61.1,43.3,46.4,1678060797182,211247937618.8748,3905933833.7957444,2023-02-27
KRW-ANKR,2023-02-20T00:00:00,2023-02-20T09:00:00,42.0,72.0,41.2,57.1,1677456000011,1339121839337.0852,21280303272.35949,2023-02-20
KRW-ANKR,2023-02-13T00:00:00,2023-02-13T09:00:00,37.8,43.5,34.2,41.9,1676851169759,100880095638.28682,2521126660.9940042,2023-02-13
KRW-ANKR,2023-02-06T00:00:00,2023-02-06T09:00:00,35.4,45.2,34.7,37.8,1676246388776,292178600408.27814,7251421526.737825,2023-02-06
KRW-ANKR,2023-01-30T00:00:00,2023-01-30T09:00:00,34.6,37.6,30.6,35.5,1675641598088,111909027082.94176,3213059084.807564,2023-01-30
KRW-ANKR,2023-01-23T00:00:00,2023-01-23T09:00:00,30.5,39.6,30.4,34.5,1675036782422,154556479530.95792,4418945803.247738,2023-01-23
KRW-ANKR,2023-01-16T00:00:00,2023-01-16T09:00:00,28.6,32.3,26.2,30.5,1674431999288,114316676475.51657,3844758025.3462644,2023-01-16
KRW-ANKR,2023-01-09T00:00:00,2023-01-09T09:00:00,24.0,31.0,23.3,28.6,1673827169715,128514114507.21124,4807870238.805786,2023-01-09
KRW-ANKR,2023-01-02T00:00:00,2023-01-02T09:00:00,19.9,25.7,19.5,24.0,1673222399795,22268752898.803585,982669116.790267,2023-01-02
KRW-ANKR,2022-12-26T00:00:00,2022-12-26T09:00:00,22.3,22.5,18.5,19.8,1672617481707,10891394868.201403,542860931.3383372,2022-12-26
KRW-ANKR,2022-12-19T00:00:00,2022-12-19T09:00:00,24.2,24.4,21.8,22.4,1672012627955,10099143343.595789,441360614.75540745,2022-12-19
KRW-ANKR,2022-12-12T00:00:00,2022-12-12T09:00:00,28.1,28.2,23.0,24.1,1671407944239,14721519884.231428,554590720.7132057,2022-12-12
KRW-ANKR,2022-12-05T00:00:00,2022-12-05T09:00:00,29.0,29.2,27.4,28.1,1670803165221,15227345636.025661,536281441.2398368,2022-12-05
KRW-ANKR,2022-11-28T00:00:00,2022-11-28T09:00:00,30.6,31.1,28.1,29.0,1670198385339,21417721652.949158,724414051.1155351,2022-11-28
KRW-ANKR,2022-11-21T00:00:00,2022-11-21T09:00:00,28.8,36.7,27.5,30.7,1669593593848,91873654041.80743,2865682441.8592873,2022-11-21
KRW-ANKR,2022-11-14T00:00:00,2022-11-14T09:00:00,28.0,32.4,26.1,28.8,1668988790386,67190139004.087845,2242410927.022785,2022-11-14
KRW-ANKR,2022-11-07T00:00:00,2022-11-07T09:00:00,41.5,42.5,27.0,28.0,1668383985031,59472367931.79424,1784430897.3287163,2022-11-07
KRW-ANKR,2022-10-31T00:00:00,2022-10-31T09:00:00,41.3,45.0,39.9,41.5,1667779197965,92362095279.88806,2174259192.202193,2022-10-31
KRW-ANKR,2022-10-24T00:00:00,2022-10-24T09:00:00,41.1,42.6,39.8,41.3,1667174380703,31303549422.11474,761683780.9865358,2022-10-24
KRW-ANKR,2022-10-17T00:00:00,2022-10-17T09:00:00,39.4,51.1,38.8,41.2,1666569587693,289348977757.59503,6224005451.048704,2022-10-17
KRW-ANKR,2022-10-10T00:00:00,2022-10-10T09:00:00,43.2,43.6,36.1,39.4,1665964671458,16376277607.28494,409835701.94408476,2022-10-10
KRW-ANKR,2022-10-03T00:00:00,2022-10-03T09:00:00,43.4,45.6,42.4,43.3,1665359985935,23087114921.944813,527662116.41032124,2022-10-03
KRW-ANKR,2022-09-26T00:00:00,2022-09-26T09:00:00,42.3,46.2,41.9,43.6,1664755181660,31221098880.011517,711309313.8817251,2022-09-26
KRW-ANKR,2022-09-19T00:00:00,2022-09-19T09:00:00,43.6,44.8,41.1,42.3,1664150369816,38104726587.67238,884411341.5868541,2022-09-19
KRW-ANKR,2022-09-12T00:00:00,2022-09-12T09:00:00,52.5,53.2,42.2,43.7,1663545576152,82138419158.03535,1675962373.8949342,2022-09-12
KRW-ANKR,2022-09-05T00:00:00,2022-09-05T09:00:00,49.3,55.2,45.2,52.4,1662940792502,102958283465.53287,2047135783.5987399,2022-09-05
